name,type,address,province,city,district,wgs84_lng,wgs84_lat
碧头,交通设施服务;地铁站;地铁站,11号线,深圳市,宝安区,,113.8149085,22.78738204
后亭,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8218441,22.75554441
沙井,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.819399,22.73377033
马安山,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.811951,22.71990934
塘尾,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8128273,22.70499196
桥头,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8059333,22.69104096
福永,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8009968,22.67646482
机场北,交通设施服务;地铁站;地铁站,11号线,深圳市,宝安区,,113.7930823,22.65402276
机场,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8086063,22.62695214
碧海湾,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8511506,22.57808316
宝安,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,宝安区,113.8755046,22.5576328
南山,交通设施服务;地铁站;地铁站,11号线,广东省,深圳市,南山区,113.9187361,22.52706586
松岗,交通设施服务;地铁站;地铁站,11号线;(在建)6号线/光明线,广东省,深圳市,宝安区,113.8245853,22.7752503
红树湾南,交通设施服务;地铁站;地铁站,11号线;(在建)9号线;(在建)9号线西延线,广东省,深圳市,南山区,113.9665085,22.52597482
机场东,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8174792,22.65015325
后瑞,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8304503,22.63180114
固戍,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8418249,22.60435422
西乡,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8581217,22.57816964
坪洲,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8658012,22.57193938
宝体,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8757496,22.56378347
新安,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,宝安区,113.8897532,22.55051989
高新园,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9489503,22.54323025
华强路,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.0800042,22.54314413
科学馆,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.0898205,22.54329959
鲤鱼门,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.8982153,22.53505898
大新,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9102126,22.53528213
桃园,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9199961,22.53539919
深大,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9392955,22.54168091
白石洲,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9621318,22.54256655
华侨城,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,南山区,113.9804115,22.53640081
侨城东,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,113.9916654,22.53528408
竹子林,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.008888,22.53618303
香蜜湖,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,福田区,114.0335531,22.54164519
罗湖,交通设施服务;地铁站;地铁站,1号线/罗宝线,广东省,深圳市,罗湖区,114.1135672,22.53477374
